"","county","cases","population","race","gender","age"
"1","adams",0,1492,"o","f","Under.40"
"2","adams",0,365,"o","f","40.59"
"3","adams",1,68,"o","f","60.69"
"4","adams",0,73,"o","f","70+"
"5","adams",0,23351,"w","f","Under.40"
"6","adams",5,12136,"w","f","40.59"
"7","adams",5,3609,"w","f","60.69"
"8","adams",18,5411,"w","f","70+"
"9","adams",0,1697,"o","m","Under.40"
"10","adams",0,387,"o","m","40.59"
"11","adams",0,69,"o","m","60.69"
"12","adams",1,53,"o","m","70+"
"13","adams",0,23602,"w","m","Under.40"
"14","adams",4,11844,"w","m","40.59"
"15","adams",9,3469,"w","m","60.69"
"16","adams",12,3666,"w","m","70+"
"17","allegheny",0,66530,"o","f","Under.40"
"18","allegheny",20,24634,"o","f","40.59"
"19","allegheny",13,6988,"o","f","60.69"
"20","allegheny",32,9107,"o","f","70+"
"21","allegheny",1,256530,"w","f","Under.40"
"22","allegheny",64,157968,"w","f","40.59"
"23","allegheny",102,52580,"w","f","60.69"
"24","allegheny",347,100327,"w","f","70+"
"25","allegheny",1,63452,"o","m","Under.40"
"26","allegheny",26,19796,"o","m","40.59"
"27","allegheny",17,5088,"o","m","60.69"
"28","allegheny",42,5271,"o","m","70+"
"29","allegheny",1,261713,"w","m","Under.40"
"30","allegheny",75,148349,"w","m","40.59"
"31","allegheny",147,42873,"w","m","60.69"
"32","allegheny",387,60460,"w","m","70+"
"33","armstrong",0,360,"o","f","Under.40"
"34","armstrong",0,130,"o","f","40.59"
"35","armstrong",0,44,"o","f","60.69"
"36","armstrong",0,52,"o","f","70+"
"37","armstrong",1,17289,"w","f","Under.40"
"38","armstrong",3,9973,"w","f","40.59"
"39","armstrong",6,3512,"w","f","60.69"
"40","armstrong",11,5828,"w","f","70+"
"41","armstrong",0,395,"o","m","Under.40"
"42","armstrong",0,161,"o","m","40.59"
"43","armstrong",0,32,"o","m","60.69"
"44","armstrong",0,45,"o","m","70+"
"45","armstrong",0,17626,"w","m","Under.40"
"46","armstrong",3,10037,"w","m","40.59"
"47","armstrong",9,2974,"w","m","60.69"
"48","armstrong",16,3934,"w","m","70+"
"49","beaver",0,4374,"o","f","Under.40"
"50","beaver",0,1649,"o","f","40.59"
"51","beaver",0,524,"o","f","60.69"
"52","beaver",1,653,"o","f","70+"
"53","beaver",1,39768,"w","f","Under.40"
"54","beaver",12,24384,"w","f","40.59"
"55","beaver",22,8632,"w","f","60.69"
"56","beaver",43,14568,"w","f","70+"
"57","beaver",0,4168,"o","m","Under.40"
"58","beaver",3,1381,"o","m","40.59"
"59","beaver",3,386,"o","m","60.69"
"60","beaver",1,387,"o","m","70+"
"61","beaver",1,40283,"w","m","Under.40"
"62","beaver",15,23472,"w","m","40.59"
"63","beaver",19,7377,"w","m","60.69"
"64","beaver",51,9406,"w","m","70+"
"65","bedford",0,235,"o","f","Under.40"
"66","bedford",0,91,"o","f","40.59"
"67","bedford",0,19,"o","f","60.69"
"68","bedford",0,27,"o","f","70+"
"69","bedford",1,12197,"w","f","Under.40"
"70","bedford",3,6775,"w","f","40.59"
"71","bedford",3,2534,"w","f","60.69"
"72","bedford",6,3475,"w","f","70+"
"73","bedford",0,243,"o","m","Under.40"
"74","bedford",0,69,"o","m","40.59"
"75","bedford",0,28,"o","m","60.69"
"76","bedford",0,19,"o","m","70+"
"77","bedford",1,12698,"w","m","Under.40"
"78","bedford",3,6857,"w","m","40.59"
"79","bedford",6,2292,"w","m","60.69"
"80","bedford",14,2425,"w","m","70+"
"81","berks",0,16221,"o","f","Under.40"
"82","berks",2,3921,"o","f","40.59"
"83","berks",0,822,"o","f","60.69"
"84","berks",2,723,"o","f","70+"
"85","berks",0,83778,"w","f","Under.40"
"86","berks",20,46160,"w","f","40.59"
"87","berks",33,14646,"w","f","60.69"
"88","berks",74,24411,"w","f","70+"
"89","berks",0,17246,"o","m","Under.40"
"90","berks",3,3990,"o","m","40.59"
"91","berks",1,737,"o","m","60.69"
"92","berks",1,518,"o","m","70+"
"93","berks",0,85500,"w","m","Under.40"
"94","berks",39,45766,"w","m","40.59"
"95","berks",41,13139,"w","m","60.69"
"96","berks",92,16060,"w","m","70+"
"97","blair",0,993,"o","f","Under.40"
"98","blair",0,276,"o","f","40.59"
"99","blair",0,77,"o","f","60.69"
"100","blair",1,106,"o","f","70+"
"101","blair",1,31469,"w","f","Under.40"
"102","blair",7,17737,"w","f","40.59"
"103","blair",11,6020,"w","f","60.69"
"104","blair",35,10549,"w","f","70+"
"105","blair",0,1105,"o","m","Under.40"
"106","blair",3,409,"o","m","40.59"
"107","blair",0,68,"o","m","60.69"
"108","blair",2,51,"o","m","70+"
"109","blair",0,32028,"w","m","Under.40"
"110","blair",12,16912,"w","m","40.59"
"111","blair",15,5065,"w","m","60.69"
"112","blair",40,6279,"w","m","70+"
"113","bradford",0,436,"o","f","Under.40"
"114","bradford",0,150,"o","f","40.59"
"115","bradford",0,31,"o","f","60.69"
"116","bradford",0,30,"o","f","70+"
"117","bradford",1,15677,"w","f","Under.40"
"118","bradford",3,8637,"w","f","40.59"
"119","bradford",6,2902,"w","f","60.69"
"120","bradford",9,4305,"w","f","70+"
"121","bradford",0,443,"o","m","Under.40"
"122","bradford",0,140,"o","m","40.59"
"123","bradford",0,33,"o","m","60.69"
"124","bradford",0,27,"o","m","70+"
"125","bradford",1,15904,"w","m","Under.40"
"126","bradford",8,8497,"w","m","40.59"
"127","bradford",14,2677,"w","m","60.69"
"128","bradford",17,2872,"w","m","70+"
"129","bucks",0,15379,"o","f","Under.40"
"130","bucks",2,5394,"o","f","40.59"
"131","bucks",1,1101,"o","f","60.69"
"132","bucks",5,920,"o","f","70+"
"133","bucks",3,144843,"w","f","Under.40"
"134","bucks",44,83499,"w","f","40.59"
"135","bucks",53,21852,"w","f","60.69"
"136","bucks",131,31465,"w","f","70+"
"137","bucks",0,15355,"o","m","Under.40"
"138","bucks",1,5229,"o","m","40.59"
"139","bucks",3,1031,"o","m","60.69"
"140","bucks",6,638,"o","m","70+"
"141","bucks",3,148149,"w","m","Under.40"
"142","bucks",28,82174,"w","m","40.59"
"143","bucks",64,20257,"w","m","60.69"
"144","bucks",110,20349,"w","m","70+"
"145","butler",0,1268,"o","f","Under.40"
"146","butler",0,357,"o","f","40.59"
"147","butler",0,70,"o","f","60.69"
"148","butler",0,75,"o","f","70+"
"149","butler",1,45428,"w","f","Under.40"
"150","butler",8,23854,"w","f","40.59"
"151","butler",22,6577,"w","f","60.69"
"152","butler",40,11445,"w","f","70+"
"153","butler",0,1475,"o","m","Under.40"
"154","butler",0,393,"o","m","40.59"
"155","butler",0,86,"o","m","60.69"
"156","butler",3,57,"o","m","70+"
"157","butler",0,45957,"w","m","Under.40"
"158","butler",20,23705,"w","m","40.59"
"159","butler",25,6098,"w","m","60.69"
"160","butler",39,7238,"w","m","70+"
"161","cambria",0,1709,"o","f","Under.40"
"162","cambria",0,570,"o","f","40.59"
"163","cambria",0,178,"o","f","60.69"
"164","cambria",1,237,"o","f","70+"
"165","cambria",0,33975,"w","f","Under.40"
"166","cambria",7,20304,"w","f","40.59"
"167","cambria",8,7331,"w","f","60.69"
"168","cambria",25,14283,"w","f","70+"
"169","cambria",0,2582,"o","m","Under.40"
"170","cambria",0,886,"o","m","40.59"
"171","cambria",2,134,"o","m","60.69"
"172","cambria",0,119,"o","m","70+"
"173","cambria",0,35281,"w","m","Under.40"
"174","cambria",14,20407,"w","m","40.59"
"175","cambria",13,6060,"w","m","60.69"
"176","cambria",51,8542,"w","m","70+"
"177","cameron",0,28,"o","f","Under.40"
"178","cameron",0,6,"o","f","40.59"
"179","cameron",0,4,"o","f","60.69"
"180","cameron",0,0,"o","f","70+"
"181","cameron",0,1374,"w","f","Under.40"
"182","cameron",0,775,"w","f","40.59"
"183","cameron",2,299,"w","f","60.69"
"184","cameron",2,553,"w","f","70+"
"185","cameron",0,25,"o","m","Under.40"
"186","cameron",0,3,"o","m","40.59"
"187","cameron",0,3,"o","m","60.69"
"188","cameron",0,1,"o","m","70+"
"189","cameron",0,1446,"w","m","Under.40"
"190","cameron",1,845,"w","m","40.59"
"191","cameron",1,261,"w","m","60.69"
"192","cameron",2,351,"w","m","70+"
"193","carbon",0,409,"o","f","Under.40"
"194","carbon",0,147,"o","f","40.59"
"195","carbon",0,41,"o","f","60.69"
"196","carbon",0,13,"o","f","70+"
"197","carbon",0,13810,"w","f","Under.40"
"198","carbon",2,7948,"w","f","40.59"
"199","carbon",6,2866,"w","f","60.69"
"200","carbon",10,4935,"w","f","70+"
"201","carbon",0,463,"o","m","Under.40"
"202","carbon",0,146,"o","m","40.59"
"203","carbon",0,31,"o","m","60.69"
"204","carbon",1,32,"o","m","70+"
"205","carbon",0,14176,"w","m","Under.40"
"206","carbon",5,8085,"w","m","40.59"
"207","carbon",6,2569,"w","m","60.69"
"208","carbon",12,3131,"w","m","70+"
"209","centre",0,4447,"o","f","Under.40"
"210","centre",0,513,"o","f","40.59"
"211","centre",0,84,"o","f","60.69"
"212","centre",0,70,"o","f","70+"
"213","centre",0,37344,"w","f","Under.40"
"214","centre",7,13704,"w","f","40.59"
"215","centre",4,4318,"w","f","60.69"
"216","centre",10,5956,"w","f","70+"
"217","centre",0,5468,"o","m","Under.40"
"218","centre",1,887,"o","m","40.59"
"219","centre",0,90,"o","m","60.69"
"220","centre",0,65,"o","m","70+"
"221","centre",0,40765,"w","m","Under.40"
"222","centre",10,14060,"w","m","40.59"
"223","centre",10,3950,"w","m","60.69"
"224","centre",19,4037,"w","m","70+"
"225","chester",0,15602,"o","f","Under.40"
"226","chester",3,5186,"o","f","40.59"
"227","chester",3,1211,"o","f","60.69"
"228","chester",7,1353,"o","f","70+"
"229","chester",1,103685,"w","f","Under.40"
"230","chester",25,58711,"w","f","40.59"
"231","chester",25,14392,"w","f","60.69"
"232","chester",70,20622,"w","f","70+"
"233","chester",0,16235,"o","m","Under.40"
"234","chester",4,5153,"o","m","40.59"
"235","chester",7,1108,"o","m","60.69"
"236","chester",6,908,"o","m","70+"
"237","chester",1,104948,"w","m","Under.40"
"238","chester",22,57093,"w","m","40.59"
"239","chester",44,13493,"w","m","60.69"
"240","chester",73,13801,"w","m","70+"
"241","clarion",0,280,"o","f","Under.40"
"242","clarion",0,66,"o","f","40.59"
"243","clarion",0,13,"o","f","60.69"
"244","clarion",0,13,"o","f","70+"
"245","clarion",0,11382,"w","f","Under.40"
"246","clarion",3,5217,"w","f","40.59"
"247","clarion",2,1899,"w","f","60.69"
"248","clarion",9,2733,"w","f","70+"
"249","clarion",0,321,"o","m","Under.40"
"250","clarion",0,53,"o","m","40.59"
"251","clarion",0,16,"o","m","60.69"
"252","clarion",0,5,"o","m","70+"
"253","clarion",0,10997,"w","m","Under.40"
"254","clarion",1,5162,"w","m","40.59"
"255","clarion",8,1718,"w","m","60.69"
"256","clarion",9,1890,"w","m","70+"
"257","clearfield",0,285,"o","f","Under.40"
"258","clearfield",0,122,"o","f","40.59"
"259","clearfield",0,29,"o","f","60.69"
"260","clearfield",0,33,"o","f","70+"
"261","clearfield",0,19993,"w","f","Under.40"
"262","clearfield",6,10993,"w","f","40.59"
"263","clearfield",9,3946,"w","f","60.69"
"264","clearfield",18,6400,"w","f","70+"
"265","clearfield",0,1241,"o","m","Under.40"
"266","clearfield",1,388,"o","m","40.59"
"267","clearfield",0,43,"o","m","60.69"
"268","clearfield",0,23,"o","m","70+"
"269","clearfield",0,21077,"w","m","Under.40"
"270","clearfield",7,11245,"w","m","40.59"
"271","clearfield",9,3482,"w","m","60.69"
"272","clearfield",23,4082,"w","m","70+"
"273","clinton",0,216,"o","f","Under.40"
"274","clinton",0,48,"o","f","40.59"
"275","clinton",0,17,"o","f","60.69"
"276","clinton",0,20,"o","f","70+"
"277","clinton",0,9825,"w","f","Under.40"
"278","clinton",2,4823,"w","f","40.59"
"279","clinton",5,1758,"w","f","60.69"
"280","clinton",9,2818,"w","f","70+"
"281","clinton",0,273,"o","m","Under.40"
"282","clinton",0,54,"o","m","40.59"
"283","clinton",0,13,"o","m","60.69"
"284","clinton",0,9,"o","m","70+"
"285","clinton",0,9797,"w","m","Under.40"
"286","clinton",0,4764,"w","m","40.59"
"287","clinton",3,1603,"w","m","60.69"
"288","clinton",8,1876,"w","m","70+"
"289","columbia",0,535,"o","f","Under.40"
"290","columbia",0,125,"o","f","40.59"
"291","columbia",0,27,"o","f","60.69"
"292","columbia",0,22,"o","f","70+"
"293","columbia",0,16966,"w","f","Under.40"
"294","columbia",3,8446,"w","f","40.59"
"295","columbia",4,2810,"w","f","60.69"
"296","columbia",15,4697,"w","f","70+"
"297","columbia",0,661,"o","m","Under.40"
"298","columbia",0,133,"o","m","40.59"
"299","columbia",0,30,"o","m","60.69"
"300","columbia",0,16,"o","m","70+"
"301","columbia",0,16176,"w","m","Under.40"
"302","columbia",10,8112,"w","m","40.59"
"303","columbia",5,2494,"w","m","60.69"
"304","columbia",21,2901,"w","m","70+"
"305","crawford",0,1046,"o","f","Under.40"
"306","crawford",0,338,"o","f","40.59"
"307","crawford",0,64,"o","f","60.69"
"308","crawford",0,80,"o","f","70+"
"309","crawford",0,22638,"w","f","Under.40"
"310","crawford",6,12202,"w","f","40.59"
"311","crawford",8,3861,"w","f","60.69"
"312","crawford",16,6169,"w","f","70+"
"313","crawford",0,811,"o","m","Under.40"
"314","crawford",0,243,"o","m","40.59"
"315","crawford",0,73,"o","m","60.69"
"316","crawford",0,58,"o","m","70+"
"317","crawford",0,23261,"w","m","Under.40"
"318","crawford",5,11808,"w","m","40.59"
"319","crawford",18,3661,"w","m","60.69"
"320","crawford",21,4053,"w","m","70+"
"321","cumberland",0,3525,"o","f","Under.40"
"322","cumberland",2,1232,"o","f","40.59"
"323","cumberland",0,215,"o","f","60.69"
"324","cumberland",1,206,"o","f","70+"
"325","cumberland",1,52055,"w","f","Under.40"
"326","cumberland",13,28962,"w","f","40.59"
"327","cumberland",9,8860,"w","f","60.69"
"328","cumberland",38,14406,"w","f","70+"
"329","cumberland",0,4992,"o","m","Under.40"
"330","cumberland",0,1419,"o","m","40.59"
"331","cumberland",0,237,"o","m","60.69"
"332","cumberland",1,132,"o","m","70+"
"333","cumberland",1,52620,"w","m","Under.40"
"334","cumberland",14,28215,"w","m","40.59"
"335","cumberland",19,7787,"w","m","60.69"
"336","cumberland",33,8811,"w","m","70+"
"337","dauphin",1,19845,"o","f","Under.40"
"338","dauphin",4,6753,"o","f","40.59"
"339","dauphin",3,1677,"o","f","60.69"
"340","dauphin",5,1749,"o","f","70+"
"341","dauphin",0,47676,"w","f","Under.40"
"342","dauphin",10,29636,"w","f","40.59"
"343","dauphin",17,9051,"w","f","60.69"
"344","dauphin",31,14558,"w","f","70+"
"345","dauphin",0,18980,"o","m","Under.40"
"346","dauphin",5,6262,"o","m","40.59"
"347","dauphin",3,1338,"o","m","60.69"
"348","dauphin",4,1036,"o","m","70+"
"349","dauphin",1,48191,"w","m","Under.40"
"350","dauphin",15,28467,"w","m","40.59"
"351","dauphin",24,7685,"w","m","60.69"
"352","dauphin",45,8894,"w","m","70+"
"353","delaware",0,36951,"o","f","Under.40"
"354","delaware",11,13407,"o","f","40.59"
"355","delaware",9,3067,"o","f","60.69"
"356","delaware",22,3614,"o","f","70+"
"357","delaware",0,112258,"w","f","Under.40"
"358","delaware",31,62212,"w","f","40.59"
"359","delaware",41,19387,"w","f","60.69"
"360","delaware",121,37144,"w","f","70+"
"361","delaware",0,35854,"o","m","Under.40"
"362","delaware",9,10991,"o","m","40.59"
"363","delaware",5,2453,"o","m","60.69"
"364","delaware",17,2078,"o","m","70+"
"365","delaware",2,113799,"w","m","Under.40"
"366","delaware",43,59104,"w","m","40.59"
"367","delaware",51,16089,"w","m","60.69"
"368","delaware",123,22456,"w","m","70+"
"369","elk",0,126,"o","f","Under.40"
"370","elk",0,45,"o","f","40.59"
"371","elk",0,6,"o","f","60.69"
"372","elk",0,9,"o","f","70+"
"373","elk",0,8598,"w","f","Under.40"
"374","elk",1,4534,"w","f","40.59"
"375","elk",7,1713,"w","f","60.69"
"376","elk",4,2700,"w","f","70+"
"377","elk",0,119,"o","m","Under.40"
"378","elk",0,45,"o","m","40.59"
"379","elk",0,11,"o","m","60.69"
"380","elk",0,5,"o","m","70+"
"381","elk",0,9097,"w","m","Under.40"
"382","elk",5,4803,"w","m","40.59"
"383","elk",6,1515,"w","m","60.69"
"384","elk",8,1786,"w","m","70+"
"385","erie",0,8993,"o","f","Under.40"
"386","erie",1,2371,"o","f","40.59"
"387","erie",0,551,"o","f","60.69"
"388","erie",2,537,"o","f","70+"
"389","erie",0,67803,"w","f","Under.40"
"390","erie",20,34938,"w","f","40.59"
"391","erie",24,10368,"w","f","60.69"
"392","erie",71,18315,"w","f","70+"
"393","erie",0,9951,"o","m","Under.40"
"394","erie",4,2361,"o","m","40.59"
"395","erie",7,454,"o","m","60.69"
"396","erie",3,343,"o","m","70+"
"397","erie",2,69272,"w","m","Under.40"
"398","erie",18,34196,"w","m","40.59"
"399","erie",23,9031,"w","m","60.69"
"400","erie",56,11359,"w","m","70+"
"401","fayette",0,2152,"o","f","Under.40"
"402","fayette",1,837,"o","f","40.59"
"403","fayette",0,275,"o","f","60.69"
"404","fayette",4,423,"o","f","70+"
"405","fayette",0,34597,"w","f","Under.40"
"406","fayette",8,19926,"w","f","40.59"
"407","fayette",11,6922,"w","f","60.69"
"408","fayette",31,12376,"w","f","70+"
"409","fayette",0,2090,"o","m","Under.40"
"410","fayette",1,758,"o","m","40.59"
"411","fayette",1,212,"o","m","60.69"
"412","fayette",3,240,"o","m","70+"
"413","fayette",0,35060,"w","m","Under.40"
"414","fayette",12,19589,"w","m","40.59"
"415","fayette",26,5726,"w","m","60.69"
"416","fayette",52,7461,"w","m","70+"
"417","forest",0,23,"o","f","Under.40"
"418","forest",0,5,"o","f","40.59"
"419","forest",0,5,"o","f","60.69"
"420","forest",0,4,"o","f","70+"
"421","forest",0,915,"w","f","Under.40"
"422","forest",0,695,"w","f","40.59"
"423","forest",0,324,"w","f","60.69"
"424","forest",1,371,"w","f","70+"
"425","forest",0,153,"o","m","Under.40"
"426","forest",0,6,"o","m","40.59"
"427","forest",0,3,"o","m","60.69"
"428","forest",0,2,"o","m","70+"
"429","forest",0,1099,"w","m","Under.40"
"430","forest",0,689,"w","m","40.59"
"431","forest",0,334,"w","m","60.69"
"432","forest",3,318,"w","m","70+"
"433","franklin",0,2037,"o","f","Under.40"
"434","franklin",0,607,"o","f","40.59"
"435","franklin",1,155,"o","f","60.69"
"436","franklin",2,160,"o","f","70+"
"437","franklin",0,31642,"w","f","Under.40"
"438","franklin",9,17039,"w","f","40.59"
"439","franklin",8,5756,"w","f","60.69"
"440","franklin",22,9002,"w","f","70+"
"441","franklin",0,2188,"o","m","Under.40"
"442","franklin",0,640,"o","m","40.59"
"443","franklin",1,129,"o","m","60.69"
"444","franklin",1,118,"o","m","70+"
"445","franklin",0,32103,"w","m","Under.40"
"446","franklin",9,16489,"w","m","40.59"
"447","franklin",18,5297,"w","m","60.69"
"448","franklin",34,5951,"w","m","70+"
"449","fulton",0,96,"o","f","Under.40"
"450","fulton",0,25,"o","f","40.59"
"451","fulton",0,13,"o","f","60.69"
"452","fulton",0,10,"o","f","70+"
"453","fulton",0,3547,"w","f","Under.40"
"454","fulton",0,1907,"w","f","40.59"
"455","fulton",1,682,"w","f","60.69"
"456","fulton",2,848,"w","f","70+"
"457","fulton",0,72,"o","m","Under.40"
"458","fulton",0,26,"o","m","40.59"
"459","fulton",0,6,"o","m","60.69"
"460","fulton",0,1,"o","m","70+"
"461","fulton",0,3800,"w","m","Under.40"
"462","fulton",1,1967,"w","m","40.59"
"463","fulton",4,667,"w","m","60.69"
"464","fulton",3,594,"w","m","70+"
"465","greene",0,169,"o","f","Under.40"
"466","greene",0,74,"o","f","40.59"
"467","greene",0,21,"o","f","60.69"
"468","greene",0,34,"o","f","70+"
"469","greene",0,9594,"w","f","Under.40"
"470","greene",4,5366,"w","f","40.59"
"471","greene",4,1654,"w","f","60.69"
"472","greene",5,2809,"w","f","70+"
"473","greene",0,1284,"o","m","Under.40"
"474","greene",0,386,"o","m","40.59"
"475","greene",0,24,"o","m","60.69"
"476","greene",0,15,"o","m","70+"
"477","greene",0,10392,"w","m","Under.40"
"478","greene",6,5600,"w","m","40.59"
"479","greene",7,1449,"w","m","60.69"
"480","greene",12,1801,"w","m","70+"
"481","huntingdon",0,318,"o","f","Under.40"
"482","huntingdon",0,106,"o","f","40.59"
"483","huntingdon",0,33,"o","f","60.69"
"484","huntingdon",0,31,"o","f","70+"
"485","huntingdon",0,10587,"w","f","Under.40"
"486","huntingdon",2,5720,"w","f","40.59"
"487","huntingdon",1,2052,"w","f","60.69"
"488","huntingdon",6,2897,"w","f","70+"
"489","huntingdon",0,1921,"o","m","Under.40"
"490","huntingdon",0,576,"o","m","40.59"
"491","huntingdon",0,33,"o","m","60.69"
"492","huntingdon",0,24,"o","m","70+"
"493","huntingdon",0,11549,"w","m","Under.40"
"494","huntingdon",3,5980,"w","m","40.59"
"495","huntingdon",5,1891,"w","m","60.69"
"496","huntingdon",9,1868,"w","m","70+"
"497","indiana",0,1109,"o","f","Under.40"
"498","indiana",0,199,"o","f","40.59"
"499","indiana",0,41,"o","f","60.69"
"500","indiana",0,53,"o","f","70+"
"501","indiana",0,23635,"w","f","Under.40"
"502","indiana",7,11396,"w","f","40.59"
"503","indiana",7,3615,"w","f","60.69"
"504","indiana",14,6135,"w","f","70+"
"505","indiana",0,1106,"o","m","Under.40"
"506","indiana",1,213,"o","m","40.59"
"507","indiana",1,41,"o","m","60.69"
"508","indiana",0,47,"o","m","70+"
"509","indiana",0,23478,"w","m","Under.40"
"510","indiana",6,11400,"w","m","40.59"
"511","indiana",13,3255,"w","m","60.69"
"512","indiana",21,3882,"w","m","70+"
"513","jefferson",0,146,"o","f","Under.40"
"514","jefferson",0,51,"o","f","40.59"
"515","jefferson",0,16,"o","f","60.69"
"516","jefferson",0,23,"o","f","70+"
"517","jefferson",0,11104,"w","f","Under.40"
"518","jefferson",4,6170,"w","f","40.59"
"519","jefferson",2,2206,"w","f","60.69"
"520","jefferson",10,3751,"w","f","70+"
"521","jefferson",0,157,"o","m","Under.40"
"522","jefferson",0,60,"o","m","40.59"
"523","jefferson",0,7,"o","m","60.69"
"524","jefferson",0,15,"o","m","70+"
"525","jefferson",0,11676,"w","m","Under.40"
"526","jefferson",2,6102,"w","m","40.59"
"527","jefferson",8,2022,"w","m","60.69"
"528","jefferson",8,2426,"w","m","70+"
"529","juniata",0,161,"o","f","Under.40"
"530","juniata",0,38,"o","f","40.59"
"531","juniata",0,4,"o","f","60.69"
"532","juniata",0,3,"o","f","70+"
"533","juniata",0,5755,"w","f","Under.40"
"534","juniata",0,2932,"w","f","40.59"
"535","juniata",1,1078,"w","f","60.69"
"536","juniata",3,1497,"w","f","70+"
"537","juniata",0,180,"o","m","Under.40"
"538","juniata",0,46,"o","m","40.59"
"539","juniata",0,8,"o","m","60.69"
"540","juniata",0,5,"o","m","70+"
"541","juniata",0,6090,"w","m","Under.40"
"542","juniata",0,3039,"w","m","40.59"
